"Date","Price","Open","High","Low","Vol.","Change %"
"06/18/2024","5.33","5.33","5.33","5.33","","0.00%"
"06/17/2024","5.33","5.33","5.33","5.33","","0.00%"
"06/14/2024","5.33","5.33","5.33","5.33","","0.00%"
"06/13/2024","5.33","5.33","5.33","5.33","","0.00%"
"06/12/2024","5.33","5.33","5.33","5.33","","0.00%"
"06/11/2024","5.33","5.33","5.33","5.33","","0.00%"
"06/10/2024","5.33","5.33","5.33","5.33","","0.00%"
"06/07/2024","5.33","5.33","5.33","5.33","","0.00%"
"06/06/2024","5.33","5.33","5.33","5.33","","0.00%"
"06/05/2024","5.33","5.33","5.33","5.33","","0.00%"
"06/04/2024","5.33","5.33","5.33","5.33","","0.00%"
"06/03/2024","5.33","5.33","5.33","5.33","","0.00%"
"05/31/2024","5.33","5.33","5.33","5.33","","0.00%"
"05/30/2024","5.33","5.33","5.33","5.33","","0.00%"
"05/29/2024","5.33","5.33","5.33","5.33","","0.00%"
"05/28/2024","5.33","5.33","5.33","5.33","","0.00%"
"05/24/2024","5.33","5.33","5.33","5.33","","0.00%"
"05/23/2024","5.33","5.33","5.33","5.33","","0.00%"
"05/22/2024","5.33","5.33","5.33","5.33","","0.00%"
"05/21/2024","5.33","5.33","5.33","5.33","","0.00%"
"05/20/2024","5.33","5.33","5.33","5.33","","0.00%"
"05/17/2024","5.33","5.33","5.33","5.33","","0.00%"
"05/16/2024","5.33","5.33","5.33","5.33","","0.00%"
"05/15/2024","5.33","5.33","5.33","5.33","","0.00%"
"05/14/2024","5.33","5.33","5.33","5.33","","0.00%"
"05/13/2024","5.33","5.33","5.33","5.33","","0.00%"
"05/10/2024","5.33","5.33","5.33","5.33","","0.00%"
"05/09/2024","5.33","5.33","5.33","5.33","","0.00%"
"05/08/2024","5.33","5.33","5.33","5.33","","0.00%"
"05/07/2024","5.33","5.33","5.33","5.33","","0.00%"
"05/06/2024","5.33","5.33","5.33","5.33","","0.00%"
"05/03/2024","5.33","5.33","5.33","5.33","","0.00%"
"05/01/2024","5.33","5.33","5.33","5.33","","0.00%"
"04/30/2024","5.33","5.33","5.33","5.33","","0.00%"
"04/29/2024","5.33","5.33","5.33","5.33","","0.00%"
"04/26/2024","5.33","5.33","5.33","5.33","","0.00%"
"04/25/2024","5.33","5.33","5.33","5.33","","0.00%"
"04/24/2024","5.33","5.33","5.33","5.33","","0.00%"
"04/23/2024","5.33","5.33","5.33","5.33","","0.00%"
"04/22/2024","5.33","5.33","5.33","5.33","","0.00%"
"04/19/2024","5.33","5.33","5.33","5.33","","0.00%"
"04/18/2024","5.33","5.33","5.33","5.33","","0.00%"
"04/17/2024","5.33","5.33","5.33","5.33","","0.00%"
"04/16/2024","5.33","5.33","5.33","5.33","","0.00%"
"04/15/2024","5.33","5.33","5.33","5.33","","0.00%"
"04/12/2024","5.33","5.33","5.33","5.33","","0.00%"
"04/11/2024","5.33","5.33","5.33","5.33","","0.00%"
"04/10/2024","5.33","5.33","5.33","5.33","","0.00%"
"04/09/2024","5.33","5.33","5.33","5.33","","0.00%"
"04/08/2024","5.33","5.33","5.33","5.33","","0.00%"
"04/05/2024","5.33","5.33","5.33","5.33","","0.00%"
"04/04/2024","5.33","5.33","5.33","5.33","","0.00%"
"04/03/2024","5.33","5.33","5.33","5.33","","0.00%"
"04/02/2024","5.33","5.33","5.33","5.33","","0.00%"
"04/01/2024","5.33","5.33","5.33","5.33","","0.00%"
"03/29/2024","5.33","5.33","5.33","5.33","","0.00%"
"03/28/2024","5.33","5.33","5.33","5.33","","0.00%"
"03/27/2024","5.33","5.33","5.33","5.33","","0.00%"
"03/26/2024","5.33","5.33","5.33","5.33","","0.00%"
"03/25/2024","5.33","5.33","5.33","5.33","","0.00%"
"03/22/2024","5.33","5.33","5.33","5.33","","0.00%"
"03/21/2024","5.33","5.33","5.33","5.33","","0.00%"
"03/20/2024","5.33","5.33","5.33","5.33","","0.00%"
"03/19/2024","5.33","5.33","5.33","5.33","","0.00%"
"03/18/2024","5.33","5.33","5.33","5.33","","0.00%"
"03/15/2024","5.33","5.33","5.33","5.33","","0.00%"
"03/14/2024","5.33","5.33","5.33","5.33","","0.00%"
"03/13/2024","5.33","5.33","5.33","5.33","","0.00%"
"03/12/2024","5.33","5.33","5.33","5.33","","0.00%"
"03/11/2024","5.33","5.33","5.33","5.33","","0.00%"
"03/08/2024","5.33","5.33","5.33","5.33","","0.00%"
"03/07/2024","5.33","5.33","5.33","5.33","","0.00%"
"03/06/2024","5.33","5.33","5.33","5.33","","0.00%"
"03/05/2024","5.33","5.33","5.33","5.33","","0.00%"
"03/04/2024","5.33","5.33","5.33","5.33","","0.00%"
"03/01/2024","5.33","5.33","5.33","5.33","","0.00%"
"02/29/2024","5.33","5.33","5.33","5.33","","0.00%"
"02/28/2024","5.33","5.33","5.33","5.33","","0.00%"
"02/27/2024","5.33","5.33","5.33","5.33","","0.00%"
"02/26/2024","5.33","5.33","5.33","5.33","","0.00%"
"02/23/2024","5.33","5.33","5.33","5.33","","0.00%"
"02/22/2024","5.33","5.33","5.33","5.33","","0.00%"
"02/21/2024","5.33","5.33","5.33","5.33","","0.00%"
"02/20/2024","5.33","5.33","5.33","5.33","","0.00%"
"02/16/2024","5.33","5.33","5.33","5.33","","0.00%"
"02/15/2024","5.33","5.33","5.33","5.33","","0.00%"
"02/14/2024","5.33","5.33","5.33","5.33","","0.00%"
"02/13/2024","5.33","5.33","5.33","5.33","","0.00%"
"02/12/2024","5.33","5.33","5.33","5.33","","0.00%"
"02/09/2024","5.33","5.33","5.33","5.33","","0.00%"
"02/08/2024","5.33","5.33","5.33","5.33","","0.00%"
"02/07/2024","5.33","5.33","5.33","5.33","","0.00%"
"02/06/2024","5.33","5.33","5.33","5.33","","0.00%"
"02/05/2024","5.33","5.33","5.33","5.33","","0.00%"
"02/02/2024","5.33","5.33","5.33","5.33","","0.00%"
"02/01/2024","5.33","5.33","5.33","5.33","","0.00%"
"01/31/2024","5.33","5.33","5.33","5.33","","0.00%"
"01/30/2024","5.33","5.33","5.33","5.33","","0.00%"
"01/29/2024","5.33","5.33","5.33","5.33","","0.00%"
"01/26/2024","5.33","5.33","5.33","5.33","","0.00%"
"01/25/2024","5.33","5.33","5.33","5.33","","0.00%"
"01/24/2024","5.33","5.33","5.33","5.33","","0.00%"
"01/23/2024","5.33","5.33","5.33","5.33","","0.00%"
"01/22/2024","5.33","5.33","5.33","5.33","","0.00%"
"01/19/2024","5.33","5.33","5.33","5.33","","0.00%"
"01/18/2024","5.33","5.33","5.33","5.33","","0.00%"
"01/17/2024","5.33","5.33","5.33","5.33","","0.00%"
"01/16/2024","5.33","5.33","5.33","5.33","","0.00%"
"01/12/2024","5.33","5.33","5.33","5.33","","0.00%"
"01/11/2024","5.33","5.33","5.33","5.33","","0.00%"
"01/10/2024","5.33","5.33","5.33","5.33","","0.00%"
"01/09/2024","5.33","5.33","5.33","5.33","","0.00%"
"01/08/2024","5.33","5.33","5.33","5.33","","0.00%"
"01/05/2024","5.33","5.33","5.33","5.33","","0.00%"
"01/04/2024","5.33","5.33","5.33","5.33","","0.00%"
"01/03/2024","5.33","5.33","5.33","5.33","","0.00%"
"01/02/2024","5.33","5.33","5.33","5.33","","0.00%"
"12/29/2023","5.33","5.33","5.33","5.33","","0.00%"
"12/28/2023","5.33","5.33","5.33","5.33","","0.00%"
"12/27/2023","5.33","5.33","5.33","5.33","","0.00%"
"12/26/2023","5.33","5.33","5.33","5.33","","0.00%"
"12/22/2023","5.33","5.33","5.33","5.33","","0.00%"
"12/21/2023","5.33","5.33","5.33","5.33","","0.00%"
"12/20/2023","5.33","5.33","5.33","5.33","","0.00%"
"12/19/2023","5.33","5.33","5.33","5.33","","0.00%"
"12/18/2023","5.33","5.33","5.33","5.33","","0.00%"
"12/15/2023","5.33","5.33","5.33","5.33","","0.00%"
"12/14/2023","5.33","5.33","5.33","5.33","","0.00%"
"12/13/2023","5.33","5.33","5.33","5.33","","0.00%"
"12/12/2023","5.33","5.33","5.33","5.33","","0.00%"
"12/11/2023","5.33","5.33","5.33","5.33","","0.00%"
"12/08/2023","5.33","5.33","5.33","5.33","","0.00%"
"12/07/2023","5.33","5.33","5.33","5.33","","0.00%"
"12/06/2023","5.33","5.33","5.33","5.33","","0.00%"
"12/05/2023","5.33","5.33","5.33","5.33","","0.00%"
"12/04/2023","5.33","5.33","5.33","5.33","","0.00%"
"12/01/2023","5.33","5.33","5.33","5.33","","0.00%"
"11/30/2023","5.33","5.33","5.33","5.33","","0.00%"
"11/29/2023","5.33","5.33","5.33","5.33","","0.00%"
"11/28/2023","5.33","5.33","5.33","5.33","","0.00%"
"11/27/2023","5.33","5.33","5.33","5.33","","0.00%"
"11/24/2023","5.33","5.33","5.33","5.33","","0.00%"
"11/22/2023","5.33","5.33","5.33","5.33","","0.00%"
"11/21/2023","5.33","5.33","5.33","5.33","","0.00%"
"11/20/2023","5.33","5.33","5.33","5.33","","0.00%"
"11/17/2023","5.33","5.33","5.33","5.33","","0.00%"
"11/16/2023","5.33","5.33","5.33","5.33","","0.00%"
"11/15/2023","5.33","5.33","5.33","5.33","","0.00%"
"11/14/2023","5.33","5.33","5.33","5.33","","0.00%"
"11/13/2023","5.33","5.33","5.33","5.33","","0.00%"
"11/10/2023","5.33","5.33","5.33","5.33","","0.00%"
"11/09/2023","5.33","5.33","5.33","5.33","","0.00%"
"11/08/2023","5.33","5.33","5.33","5.33","","0.00%"
"11/07/2023","5.33","5.33","5.33","5.33","","0.00%"
"11/06/2023","5.33","5.33","5.33","5.33","","0.00%"
"11/03/2023","5.33","5.33","5.33","5.33","","0.00%"
"11/02/2023","5.33","5.33","5.33","5.33","","0.00%"
"11/01/2023","5.33","5.33","5.33","5.33","","0.00%"
"10/31/2023","5.33","5.33","5.33","5.33","","0.00%"
"10/30/2023","5.33","5.33","5.33","5.33","","0.00%"
"10/27/2023","5.33","5.33","5.33","5.33","","0.00%"
"10/26/2023","5.33","5.33","5.33","5.33","","0.00%"
"10/25/2023","5.33","5.33","5.33","5.33","","0.00%"
"10/24/2023","5.33","5.33","5.33","5.33","","0.00%"
"10/23/2023","5.33","5.33","5.33","5.33","","0.00%"
"10/20/2023","5.33","5.33","5.33","5.33","","0.00%"
"10/19/2023","5.33","5.33","5.33","5.33","","0.00%"
"10/18/2023","5.33","5.33","5.33","5.33","","0.00%"
"10/17/2023","5.33","5.33","5.33","5.33","","0.00%"
"10/16/2023","5.33","5.33","5.33","5.33","","0.00%"
"10/13/2023","5.33","5.33","5.33","5.33","","0.00%"
"10/12/2023","5.33","5.33","5.33","5.33","","0.00%"
"10/11/2023","5.33","5.33","5.33","5.33","","0.00%"
"10/10/2023","5.33","5.33","5.33","5.33","","0.00%"
"10/06/2023","5.33","5.33","5.33","5.33","","0.00%"
"10/05/2023","5.33","5.33","5.33","5.33","","0.00%"
"10/04/2023","5.33","5.33","5.33","5.33","","0.00%"
"10/03/2023","5.33","5.33","5.33","5.33","","0.00%"
"10/02/2023","5.33","5.33","5.33","5.33","","0.00%"
"09/29/2023","5.33","5.33","5.33","5.33","","0.00%"
"09/28/2023","5.33","5.33","5.33","5.33","","0.00%"
"09/27/2023","5.33","5.33","5.33","5.33","","0.00%"
"09/26/2023","5.33","5.33","5.33","5.33","","0.00%"
"09/25/2023","5.33","5.33","5.33","5.33","","0.00%"
"09/22/2023","5.33","5.33","5.33","5.33","","0.00%"
"09/21/2023","5.33","5.33","5.33","5.33","","0.00%"
"09/20/2023","5.33","5.33","5.33","5.33","","0.00%"
"09/19/2023","5.33","5.33","5.33","5.33","","0.00%"
"09/18/2023","5.33","5.33","5.33","5.33","","0.00%"
"09/15/2023","5.33","5.33","5.33","5.33","","0.00%"
"09/14/2023","5.33","5.33","5.33","5.33","","0.00%"
"09/13/2023","5.33","5.33","5.33","5.33","","0.00%"
"09/12/2023","5.33","5.33","5.33","5.33","","0.00%"
"09/11/2023","5.33","5.33","5.33","5.33","","0.00%"
"09/08/2023","5.33","5.33","5.33","5.33","","0.00%"
"09/07/2023","5.33","5.33","5.33","5.33","","0.00%"
"09/06/2023","5.33","5.33","5.33","5.33","","0.00%"
"09/05/2023","5.33","5.33","5.33","5.33","","0.00%"
"09/01/2023","5.33","5.33","5.33","5.33","","0.00%"
"08/31/2023","5.33","5.33","5.33","5.33","","0.00%"
"08/30/2023","5.33","5.33","5.33","5.33","","0.00%"
"08/29/2023","5.33","5.33","5.33","5.33","","0.00%"
"08/28/2023","5.33","5.33","5.33","5.33","","0.00%"
"08/25/2023","5.33","5.33","5.33","5.33","","0.00%"
"08/24/2023","5.33","5.33","5.33","5.33","","0.00%"
"08/23/2023","5.33","5.33","5.33","5.33","","0.00%"
"08/22/2023","5.33","5.33","5.33","5.33","","0.00%"
"08/21/2023","5.33","5.33","5.33","5.33","","0.00%"
"08/18/2023","5.33","5.33","5.33","5.33","","0.00%"
"08/17/2023","5.33","5.33","5.33","5.33","","0.00%"
"08/16/2023","5.33","5.33","5.33","5.33","","0.00%"
"08/15/2023","5.33","5.33","5.33","5.33","","0.00%"
"08/14/2023","5.33","5.33","5.33","5.33","","0.00%"
"08/11/2023","5.33","5.33","5.33","5.33","","0.00%"
"08/10/2023","5.33","5.33","5.33","5.33","","0.00%"
"08/09/2023","5.33","5.33","5.33","5.33","","0.00%"
"08/08/2023","5.33","5.33","5.33","5.33","","0.00%"
"08/07/2023","5.33","5.33","5.33","5.33","","0.00%"
"08/04/2023","5.33","5.33","5.33","5.33","","0.00%"
"08/03/2023","5.33","5.33","5.33","5.33","","0.00%"
"08/02/2023","5.33","5.33","5.33","5.33","","0.00%"
"08/01/2023","5.33","5.33","5.33","5.33","","0.00%"
"07/31/2023","5.33","5.33","5.33","5.33","","0.00%"
"07/28/2023","5.33","5.33","5.33","5.33","","0.00%"
"07/27/2023","5.33","5.33","5.33","5.33","","4.92%"
"07/26/2023","5.08","5.08","5.08","5.08","","0.00%"
"07/25/2023","5.08","5.08","5.08","5.08","","0.00%"
"07/24/2023","5.08","5.08","5.08","5.08","","0.00%"
"07/21/2023","5.08","5.08","5.08","5.08","","0.00%"
"07/20/2023","5.08","5.08","5.08","5.08","","0.00%"
"07/19/2023","5.08","5.08","5.08","5.08","","0.00%"
"07/18/2023","5.08","5.08","5.08","5.08","","0.00%"
"07/17/2023","5.08","5.08","5.08","5.08","","0.00%"
"07/14/2023","5.08","5.08","5.08","5.08","","0.00%"
"07/13/2023","5.08","5.08","5.08","5.08","","0.00%"
"07/12/2023","5.08","5.08","5.08","5.08","","0.00%"
"07/11/2023","5.08","5.08","5.08","5.08","","0.20%"
"07/10/2023","5.07","5.07","5.07","5.07","","-0.20%"
"07/07/2023","5.08","5.08","5.08","5.08","","0.00%"
"07/06/2023","5.08","5.08","5.08","5.08","","0.00%"
"07/05/2023","5.08","5.08","5.08","5.08","","0.00%"
"07/03/2023","5.08","5.08","5.08","5.08","","0.00%"
"06/30/2023","5.08","5.08","5.08","5.08","","0.20%"
"06/29/2023","5.07","5.07","5.07","5.07","","0.00%"
"06/28/2023","5.07","5.07","5.07","5.07","","0.00%"
"06/27/2023","5.07","5.07","5.07","5.07","","0.00%"
"06/26/2023","5.07","5.07","5.07","5.07","","0.00%"
"06/23/2023","5.07","5.07","5.07","5.07","","0.00%"
"06/22/2023","5.07","5.07","5.07","5.07","","0.00%"
"06/21/2023","5.07","5.07","5.07","5.07","","0.00%"
"06/20/2023","5.07","5.07","5.07","5.07","","-0.20%"
"06/16/2023","5.08","5.08","5.08","5.08","","0.20%"
"06/15/2023","5.07","5.07","5.07","5.07","","0.00%"
"06/14/2023","5.07","5.08","5.08","5.08","","-0.20%"
"06/13/2023","5.08","5.08","5.08","5.08","","0.00%"
"06/12/2023","5.08","5.08","5.08","5.08","","0.00%"
"06/09/2023","5.08","5.08","5.08","5.08","","0.00%"
"06/08/2023","5.08","5.08","5.08","5.08","","0.00%"
"06/07/2023","5.08","5.08","5.08","5.08","","0.00%"
"06/06/2023","5.08","5.08","5.08","5.08","","0.00%"
"06/05/2023","5.08","5.08","5.08","5.08","","0.00%"
"06/02/2023","5.08","5.08","5.08","5.08","","0.00%"
"06/01/2023","5.08","5.08","5.08","5.08","","0.00%"
"05/31/2023","5.08","5.08","5.08","5.08","","0.00%"
"05/30/2023","5.08","5.08","5.08","5.08","","0.00%"
"05/26/2023","5.08","5.08","5.08","5.08","","0.00%"
"05/25/2023","5.08","5.08","5.08","5.08","","0.00%"
"05/24/2023","5.08","5.08","5.08","5.08","","0.00%"
"05/23/2023","5.08","5.08","5.08","5.08","","0.00%"
"05/22/2023","5.08","5.08","5.08","5.08","","0.00%"
"05/19/2023","5.08","5.08","5.08","5.08","","0.00%"
