"Date","Price","Open","High","Low","Vol.","Change %"
"06/18/2024","5,765.1","5,705.5","5,792.9","5,696.0","0.00K","1.35%"
"06/17/2024","5,688.1","5,640.0","5,699.2","5,571.4","0.00K","1.60%"
"06/14/2024","5,598.3","5,558.6","5,613.3","5,540.9","0.00K","-0.07%"
"06/13/2024","5,602.4","5,590.6","5,624.0","5,527.2","0.00K","1.48%"
"06/12/2024","5,520.9","5,456.2","5,543.6","5,452.8","0.00K","2.90%"
"06/11/2024","5,365.4","5,343.3","5,374.2","5,287.0","0.00K","0.06%"
"06/10/2024","5,362.4","5,243.7","5,379.5","5,238.8","0.00K","1.42%"
"06/07/2024","5,287.2","5,288.1","5,322.1","5,254.9","0.00K","-0.27%"
"06/06/2024","5,301.7","5,344.0","5,353.5","5,260.6","0.00K","-0.86%"
"06/05/2024","5,347.4","5,208.1","5,348.9","5,193.7","0.00K","4.52%"
"06/04/2024","5,116.3","5,144.5","5,149.0","5,074.4","0.00K","-0.70%"
"06/03/2024","5,152.5","5,215.1","5,215.1","5,059.9","0.00K","0.57%"
"05/31/2024","5,123.4","5,180.6","5,204.5","4,988.0","0.00K","-0.96%"
"05/30/2024","5,173.3","5,208.8","5,228.2","5,145.9","0.00K","-0.88%"
"05/29/2024","5,219.3","5,234.4","5,249.7","5,206.9","0.00K","-1.85%"
"05/28/2024","5,317.9","5,286.0","5,343.7","5,235.9","0.00K","1.86%"
"05/24/2024","5,220.9","5,167.0","5,232.3","5,149.3","0.00K","1.85%"
"05/23/2024","5,126.0","5,243.7","5,255.6","5,082.0","0.00K","-0.02%"
"05/22/2024","5,126.8","5,115.0","5,140.8","5,074.4","0.00K","1.03%"
"05/21/2024","5,074.4","5,031.0","5,080.9","5,020.6","0.00K","-0.31%"
"05/20/2024","5,090.4","5,002.1","5,119.2","4,999.4","0.00K","2.15%"
"05/18/2024","4,983.0","5,048.9","4,983.0","4,983.0","0.00K","0.00%"
"05/17/2024","4,983.0","5,048.9","5,056.0","4,947.2","0.00K","-0.69%"
"05/16/2024","5,017.5","5,045.0","5,084.6","5,017.3","0.00K","-0.55%"
"05/15/2024","5,045.1","4,946.2","5,046.3","4,930.7","0.00K","2.88%"
"05/14/2024","4,903.9","4,817.4","4,908.5","4,811.8","0.00K","1.68%"
"05/13/2024","4,823.1","4,828.6","4,846.8","4,811.0","0.00K","0.31%"
"05/10/2024","4,808.0","4,814.9","4,857.8","4,787.8","0.00K","1.01%"
"05/09/2024","4,759.8","4,786.5","4,789.4","4,737.5","0.00K","-0.64%"
"05/08/2024","4,790.4","4,741.7","4,794.3","4,737.3","","0.12%"
"05/07/2024","4,784.9","4,825.7","4,840.6","4,783.9","","-0.74%"
"05/06/2024","4,820.4","4,749.9","4,820.5","4,739.4","","2.21%"
"05/03/2024","4,716.2","4,696.0","4,740.5","4,675.7","","2.41%"
"05/02/2024","4,605.3","4,586.6","4,620.7","4,498.5","","2.17%"
"05/01/2024","4,507.7","4,588.4","4,660.0","4,482.1","","-3.54%"
"04/30/2024","4,673.3","4,756.7","4,803.0","4,671.8","","-1.94%"
"04/29/2024","4,765.8","4,735.4","4,772.1","4,690.8","","0.64%"
"04/26/2024","4,735.3","4,619.8","4,756.9","4,616.4","","2.61%"
"04/25/2024","4,615.0","4,515.9","4,645.6","4,492.9","","1.96%"
"04/24/2024","4,526.2","4,608.0","4,616.9","4,490.5","","1.06%"
"04/23/2024","4,478.8","4,415.6","4,500.3","4,407.2","","2.21%"
"04/22/2024","4,381.9","4,351.2","4,411.6","4,299.7","","1.74%"
"04/19/2024","4,306.9","4,444.9","4,480.1","4,288.0","","-4.12%"
"04/18/2024","4,491.7","4,541.5","4,567.6","4,474.9","","-1.66%"
"04/17/2024","4,567.3","4,725.8","4,733.4","4,561.6","","-3.25%"
"04/16/2024","4,720.5","4,682.8","4,744.2","4,670.4","","0.89%"
"04/15/2024","4,679.1","4,804.2","4,827.9","4,658.9","","-1.39%"
"04/12/2024","4,745.0","4,810.7","4,819.8","4,735.5","","-3.29%"
"04/11/2024","4,906.4","4,816.1","4,911.5","4,784.4","","2.42%"
"04/10/2024","4,790.3","4,789.9","4,847.5","4,761.1","","-1.65%"
"04/09/2024","4,870.8","4,869.4","4,890.9","4,785.6","","0.94%"
"04/08/2024","4,825.4","4,848.7","4,868.9","4,808.8","","0.13%"
"04/05/2024","4,819.1","4,784.2","4,847.5","4,751.0","","1.33%"
"04/04/2024","4,756.1","4,973.3","4,984.9","4,751.0","","-3.01%"
"04/03/2024","4,903.5","4,838.1","4,938.3","4,831.5","","0.34%"
"04/02/2024","4,886.9","4,883.6","4,898.1","4,834.2","","-1.51%"
"04/01/2024","4,962.1","4,921.5","5,030.5","4,920.0","","1.16%"
"03/28/2024","4,905.2","4,892.5","4,926.8","4,887.1","","0.11%"
"03/27/2024","4,899.9","4,902.3","4,903.2","4,815.1","","0.99%"
"03/26/2024","4,851.9","4,920.2","4,943.3","4,849.8","","-0.81%"
"03/25/2024","4,891.5","4,838.3","4,937.3","4,836.4","","-0.34%"
"03/22/2024","4,908.3","4,876.0","4,945.6","4,869.0","","0.21%"
"03/21/2024","4,897.9","4,949.1","4,983.5","4,890.5","","2.29%"
"03/20/2024","4,788.2","4,718.2","4,798.3","4,682.5","","1.60%"
"03/19/2024","4,712.8","4,683.7","4,734.5","4,620.5","","-0.94%"
"03/18/2024","4,757.6","4,834.1","4,856.4","4,751.4","","0.00%"
"03/15/2024","4,757.7","4,745.7","4,808.7","4,719.7","","-0.54%"
"03/14/2024","4,783.6","4,859.7","4,880.0","4,741.6","","-1.75%"
"03/13/2024","4,869.0","4,926.7","4,932.1","4,841.7","","-2.47%"
"03/12/2024","4,992.5","4,946.8","4,993.0","4,868.4","","2.09%"
